-42,-26,56
24,-94,-10
-6,-4,50
26,-50,-28
26,-12,56
-34,-84,-12
8,30,20
-30,22,-16
-12,8,6
12,-20,8
26,-66,32
36,18,-2
56,6,32
26,-58,-12
-32,-44,-24
6,-24,36
-8,-24,-6
-34,6,-4
30,20,-16
46,-28,40
36,-84,8
10,16,30
8,-10,-6
-36,-58,-16
4,22,36
-10,-56,-24
22,6,62
-12,-54,-26
-8,48,10
38,-66,-12
-12,-68,12
56,12,16
-52,-20,18

